word_1,def_1-1,def_1-2,def_1-3,def_1-4,def_1-5,def_1-6,def_1-7,word_2,def_2-1,def_2-2,def_2-3,def_2-4,def_2-5,def_2-6,def_2-7
sardine,"<crowd-radio-button name="def_1-0" value="def_1-0">small fatty fish usually canned</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">any of various small edible herring or related food fishes frequently canned</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">a deep orange-red variety of chalcedony</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">small fishes found in great schools along coasts of Europe; smaller and rounder than herring</crowd-radio-button>",o,o,o,cram,"<crowd-radio-button name="def_2-0" value="def_2-0">crowd or pack to capacity</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">put something somewhere so that the space is completely filled</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">study intensively, as before an exam</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">prepare (students) hastily for an impending exam</crowd-radio-button>",o,o,o
great,"<crowd-radio-button name="def_1-0" value="def_1-0">a person who has achieved distinction and honor in some field</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">relatively large in size or number or extent; larger than others of its kind</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">of major significance or importance</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">remarkable or out of the ordinary in degree or magnitude or effect</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">very good</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">uppercase</crowd-radio-button>","<crowd-radio-button name="def_1-6" value="def_1-6">in an advanced stage of pregnancy</crowd-radio-button>",extraordinary,"<crowd-radio-button name="def_2-0" value="def_2-0">beyond what is ordinary or usual; highly unusual or exceptional or remarkable</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">far more than usual or expected</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">(of an official) serving an unusual or special function in addition to those of the regular officials</crowd-radio-button>",o,o,o,o
nominate,"<crowd-radio-button name="def_1-0" value="def_1-0">propose as a candidate for some honor</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">put forward; nominate for appointment to an office or for an honor or position</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">charge with a function; charge to be</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">create and charge with a task or function</crowd-radio-button>",o,o,o,choose,"<crowd-radio-button name="def_2-0" value="def_2-0">pick out, select, or choose from a number of alternatives</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">select as an alternative over another</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">see fit or proper to act in a certain way; decide to act in a certain way</crowd-radio-button>",o,o,o,o
gamey,"<crowd-radio-button name="def_1-0" value="def_1-0">suggestive of sexual impropriety</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">(used of the smell of meat) smelling spoiled or tainted</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">willing to face danger</crowd-radio-button>",o,o,o,o,suggestive,"<crowd-radio-button name="def_2-0" value="def_2-0">tending to suggest or imply</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">(usually followed by `of') pointing out or revealing clearly</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">tending to suggest something improper or indecent</crowd-radio-button>",o,o,o,o
sanctioning,"<crowd-radio-button name="def_1-0" value="def_1-0">give sanction to</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">give authority or permission to</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">give religious sanction to, such as through on oath</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">implying sanction or serving to sanction</crowd-radio-button>",o,o,o,sanction,"<crowd-radio-button name="def_2-0" value="def_2-0">formal and explicit approval</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a mechanism of social control for enforcing a society's standards</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">official permission or approval</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">the act of final authorization</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">give sanction to</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">give authority or permission to</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">give religious sanction to, such as through on oath</crowd-radio-button>"
encouragement,"<crowd-radio-button name="def_1-0" value="def_1-0">the expression of approval and support</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">the act of giving hope or support to someone</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">the feeling of being encouraged</crowd-radio-button>",o,o,o,o,approval,"<crowd-radio-button name="def_2-0" value="def_2-0">the formal act of approving</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a feeling of liking something or someone good</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">acceptance as satisfactory</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">a message expressing a favorable opinion</crowd-radio-button>",o,o,o
combustion,"<crowd-radio-button name="def_1-0" value="def_1-0">a process in which a substance reacts with oxygen to give heat and light</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a state of violent disturbance and excitement</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">the act of burning something</crowd-radio-button>",o,o,o,o,engines,"<crowd-radio-button name="def_2-0" value="def_2-0">motor that converts thermal energy to mechanical work</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">something used to achieve a purpose</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a wheeled vehicle consisting of a self-propelled engine that is used to draw trains along railway tracks</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">an instrument or machine that is used in warfare, such as a battering ram, catapult, artillery piece, etc.</crowd-radio-button>",o,o,o
golds,"<crowd-radio-button name="def_1-0" value="def_1-0">coins made of gold</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a deep yellow color</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">great wealth; --Ben Jonson</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">something likened to the metal in brightness or preciousness or superiority etc.</crowd-radio-button>",o,o,gold,"<crowd-radio-button name="def_2-0" value="def_2-0">coins made of gold</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a deep yellow color</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">great wealth; --Ben Jonson</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">something likened to the metal in brightness or preciousness or superiority etc.</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">made from or covered with gold</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">having the deep slightly brownish color of gold</crowd-radio-button>"
unobjectionable,"<crowd-radio-button name="def_1-0" value="def_1-0">(of behavior or especially language) free from objectionable elements; fit for all observers</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">not causing disapproval</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">not objectionable</crowd-radio-button>",o,o,o,o,objection,"<crowd-radio-button name="def_2-0" value="def_2-0">the act of expressing earnest opposition or protest</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the speech act of objecting</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">the act of protesting; a public (often organized) manifestation of dissent</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">(law) a procedure whereby a party to a suit says that a particular line of questioning or a particular witness or a piece of evidence or other matter is improper and should not be continued and asks the court to rule on its impropriety or illegality</crowd-radio-button>",o,o,o
twang,"<crowd-radio-button name="def_1-0" value="def_1-0">a sharp vibrating sound (as of a plucked string)</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">exaggerated nasality in speech (as in some regional dialects)</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">cause to sound with a twang</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">sound with a twang</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">twitch or throb with pain</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">pluck (strings of an instrument)</crowd-radio-button>","<crowd-radio-button name="def_1-6" value="def_1-6">pronounce with a nasal twang</crowd-radio-button>",quality,"<crowd-radio-button name="def_2-0" value="def_2-0">an essential and distinguishing attribute of something or someone; --Shakespeare</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a degree or grade of excellence or worth</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a characteristic property that defines the apparent individual nature of something</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">(music) the distinctive property of a complex sound (a voice or noise or musical sound)</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">high social status</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">of superior grade</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">of high social status</crowd-radio-button>"
thoroughbred,"<crowd-radio-button name="def_1-0" value="def_1-0">a well-bred person</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a racehorse belonging to a breed that originated from a cross between Arabian stallions and English mares</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">a pedigreed animal of unmixed lineage; used especially of horses</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">having a list of ancestors as proof of being a purebred animal</crowd-radio-button>",o,o,o,racing,"<crowd-radio-button name="def_2-0" value="def_2-0">the sport of engaging in contests of speed</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">move fast</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">compete in a race</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">to work as fast as possible towards a goal, sometimes in competition with others</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">cause to move fast or to rush or race</crowd-radio-button>",o,o
